Q122,Q124,Country,Country_2_TEXT,Ethnicity ,Race,Education,Income,Age,Gender,Gender_4_TEXT,Relationship_status,Duration,XP _4,Social_health _1,Social_health _2,Social_health _3,Experience_1,Experience_2,Experience_3,Experience_4,Experience_5,Experience_6,Consciousness_1,Consciousness_2,Consciousness_3,Consciousness_4,Consciousness_5,Agency_1,Agency_2,Agency_3,Agency_4,Agency_5,Q99_1,Q110_1,Q136_1,Q103_1,Q104_1,Q105_1,Q106_1,Q111_1,Q112_1,Q113_1
Are you 18 or older?,Have you ever used the companion chatbot app called Replika?,What country do you live in? - Selected Choice,What country do you live in? - Other: (please indicate) - Text,"Are you of Spanish, Hispanic, or Latino origin?",Choose one or more races that you consider yourself to be,What is the highest level of education you have completed?,What was your total household income before taxes during the past 12 months?,How old are you?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What is your current marital status?,How long do you think you would use the Replika app?,"On a scale of 1-100, how intense do you think your interactions with your Replika chatbot would be? - Intensity",Please rate how harmful or helpful you think your relationship with your Replika would be for your: - Social interactions,Please rate how harmful or helpful you think your relationship with your Replika would be for your: - Relationships with family or friends,Please rate how harmful or helpful you think your relationship with your Replika would be for your: - Self-esteem,"If you used Replika, you would perceive your chatbot as having the capacity to feel: - Pain","If you used Replika, you would perceive your chatbot as having the capacity to feel: - Fear","If you used Replika, you would perceive your chatbot as having the capacity to feel: - Hunger","If you used Replika, you would perceive your chatbot as having the capacity to feel: - Love","If you used Replika, you would perceive your chatbot as having the capacity to feel: - Anger","If you used Replika, you would perceive your chatbot as having the capacity to feel: - Pleasure","If you used Replika, you would perceive your chatbot as having: - Consciousness of itself","If you used Replika, you would perceive your chatbot as having: - Consciousness of me","If you used Replika, you would perceive your chatbot as having: - An understanding that I am conscious","If you used Replika, you would perceive your chatbot as having: - Consciousness of the world around it","If you used Replika, you would perceive your chatbot as having: - A personality","If you used Replika, you would perceive your chatbot as having the capacity to: - Plan actions","If you used Replika, you would perceive your chatbot as having the capacity to: - Exercise self-control","If you used Replika, you would perceive your chatbot as having the capacity to: - Remember","If you used Replika, you would perceive your chatbot as having the capacity to: - Act morally","If you used Replika, you would perceive your chatbot as having the capacity to: - Act immorally","Please drag the slider to indicate how you might view your Replika chatbot if you used this app.







If you have difficulty reading the scale markers (ex. Fake——>Natural), type CNTRL+ or CMD+ (Mac) to zoom in.







I would view my Replika as:



A ""1"" on the first scale below indicates you would view your Replika as completely fake. A ""7"" indicates you would view your Replika as completely natural. To choose ""1,"" you will have to move the slider around and come back to ""1"" to indicate you've responded, otherwise the survey will prompt you to choose a response. - 1",Q110 - 1,I would view my Replika as: - 1,Q103 - 1,Q104 - 1,I would view my Replika as: - 1,Q106 - 1,"Please rate your impressions of the following, as if you were a user of Replika.

If my Replika really had emotions, I would feel: - 1","If my Replika developed into a living being, I think that would be: - 1","I feel that if I depended on my Replika a lot, it would be: - 1"
"{""ImportId"":""QID142""}","{""ImportId"":""QID144""}","{""ImportId"":""QID115""}","{""ImportId"":""QID115_3_TEXT""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID113_4_TEXT""}","{""ImportId"":""QID114""}","{""ImportId"":""QID127""}","{""ImportId"":""QID129_4""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID63_2""}","{""ImportId"":""QID63_3""}","{""ImportId"":""QID116_1""}","{""ImportId"":""QID116_2""}","{""ImportId"":""QID116_3""}","{""ImportId"":""QID116_21""}","{""ImportId"":""QID116_22""}","{""ImportId"":""QID116_23""}","{""ImportId"":""QID117_1""}","{""ImportId"":""QID117_2""}","{""ImportId"":""QID117_3""}","{""ImportId"":""QID117_21""}","{""ImportId"":""QID117_22""}","{""ImportId"":""QID118_1""}","{""ImportId"":""QID118_2""}","{""ImportId"":""QID118_3""}","{""ImportId"":""QID118_21""}","{""ImportId"":""QID118_22""}","{""ImportId"":""QID119_1""}","{""ImportId"":""QID130_1""}","{""ImportId"":""QID156_1""}","{""ImportId"":""QID123_1""}","{""ImportId"":""QID124_1""}","{""ImportId"":""QID125_1""}","{""ImportId"":""QID126_1""}","{""ImportId"":""QID131_1""}","{""ImportId"":""QID132_1""}","{""ImportId"":""QID133_1""}"
1,2,2,United kingdom,2,1,4,5,2,2,,5,1,10,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1
1,2,2,Uk,2,1,6,2,3,1,,4,1,15,4,4,4,1,2,2,5,4,4,3,4,4,5,5,6,4,7,4,4,5,5,2,2,3,4,5,4,1,1
1,2,2,United Kingdom,2,1,1,1,5,2,,1,6,76,4,7,7,5,5,5,5,5,5,4,4,4,4,6,2,4,5,5,3,5,4,5,2,2,6,6,7,7,2
1,2,2,UK,2,1,5,3,2,1,,5,2,21,5,4,5,4,3,2,5,3,4,5,5,6,5,6,5,6,7,5,5,5,4,5,5,5,5,6,4,4,3
1,2,2,UK,2,1,3,3,4,2,,1,1,60,5,4,6,2,2,3,5,6,6,6,6,5,5,7,5,6,7,7,1,2,4,2,2,2,5,6,6,6,6
1,2,2,Uk,2,1,3,4,4,2,,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,6,1,7,1,1,1,1,7,1,1,1
1,2,2,The UK,2,1,5,2,1,2,,5,3,50,5,3,5,3,3,1,5,3,5,5,5,6,5,6,5,3,7,5,3,5,2,4,6,7,5,6,4,3,1
1,2,2,Uk,2,1,5,3,3,2,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1
1,2,2,England ,2,1,3,2,2,1,,2,2,59,4,5,5,3,3,3,4,3,3,3,3,5,4,5,6,5,7,5,4,5,4,4,3,5,6,5,2,2,4
1,2,2,UK,2,1,2,2,4,1,,5,4,30,6,5,6,1,1,1,1,1,1,1,1,1,1,6,7,5,7,7,1,5,1,4,3,5,6,7,6,6,6
1,2,2,United kingdom,2,1,5,2,2,2,,2,4,48,3,4,4,1,1,1,1,1,1,1,1,3,2,2,4,4,3,4,4,5,4,4,4,5,4,5,1,1,3
1,2,2,uk,2,6,6,6,2,1,,5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,2,Uk,2,1,5,1,3,2,,2,1,21,4,4,4,3,4,4,4,4,4,4,5,4,5,3,5,4,4,4,4,4,3,5,4,4,3,4,4,4,3
1,2,2,Uk,2,1,2,2,3,3,,2,6,49,4,5,7,3,4,1,5,5,5,7,7,7,7,7,7,7,7,7,7,5,4,4,6,7,7,7,7,7,7
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,UK,2,1,5,1,2,1,,5,1,33,6,2,5,1,1,1,3,1,1,1,1,3,1,5,3,4,5,4,4,1,1,1,3,4,4,7,3,1,1
1,2,2,Uk,2,1,5,2,2,1,,2,2,58,4,4,4,2,2,1,2,1,3,2,2,3,2,2,4,4,3,2,2,5,4,4,4,4,4,4,4,4,5
1,2,2,UK,2,1,2,1,1,2,,5,2,40,5,6,7,7,7,4,7,7,7,7,4,6,6,6,6,6,7,7,7,6,7,7,7,7,5,5,6,5,5
1,2,2,UK,2,1,3,3,1,1,,5,4,36,5,5,4,1,2,1,3,5,4,3,5,5,4,4,6,5,7,4,4,2,2,2,4,4,5,6,2,1,1
1,2,2,Scotland,2,1,3,2,3,2,,1,1,13,3,3,2,1,1,1,1,1,1,5,4,5,5,6,5,3,7,5,5,1,2,1,1,5,4,5,1,1,1
1,2,2,UK,2,1,5,2,5,1,,1,2,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,1
1,2,2,England,2,1,3,1,1,2,,5,1,3,4,4,4,1,1,1,1,1,1,1,1,1,1,7,7,1,7,1,1,1,1,1,1,1,4,1,1,4,1
1,2,2,UK,2,4,3,2,1,1,,5,1,36,3,3,5,2,2,1,1,2,2,2,3,5,2,5,5,2,7,5,3,2,2,2,1,4,4,6,4,3,2
1,2,2,united kingdom,2,1,3,5,1,2,,5,2,60,6,6,6,5,4,2,5,4,5,5,5,5,5,5,6,5,6,6,5,5,3,5,3,2,5,5,3,5,3
1,2,2,UK,2,1,2,1,6,2,,3,1,8,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4,1
1,2,2,Uk ,2,1,4,2,3,2,,2,3,23,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,3,4,3,2
1,2,2,UK,2,1,6,7,2,2,,5,1,40,4,5,6,1,1,1,1,1,1,5,5,4,5,5,2,6,7,5,3,2,4,2,2,4,5,6,4,5,2
1,2,2,UK,2,4,5,3,4,1,,1,6,60,6,5,7,2,2,2,2,2,2,5,5,5,5,5,6,5,7,5,3,6,5,6,6,5,6,7,6,6,7
1,2,2,United Kingdom ,2,1,5,2,3,2,,2,2,31,4,4,5,3,1,2,2,2,3,4,3,3,3,4,5,4,6,4,4,3,2,1,2,4,3,4,5,4,3
1,2,2,Uk,2,1,3,7,1,2,,5,2,46,6,6,7,5,5,1,2,1,4,4,6,4,7,6,2,5,6,3,5,5,4,5,6,2,4,5,4,4,2
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,United Kingdom,2,1,5,3,2,1,,2,1,10,4,4,3,1,1,1,1,1,1,1,1,5,1,5,3,2,7,4,4,1,1,1,1,1,1,3,4,5,4
1,2,2,uk,2,1,6,2,2,2,,2,1,24,2,2,4,1,1,1,1,1,1,1,1,1,1,3,5,2,6,2,2,2,3,4,2,6,4,4,2,1,1
1,2,2,England,2,1,2,2,4,2,,1,2,27,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2
1,2,2,UK,2,1,6,4,1,1,,5,1,10,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,2,1,2,2,4,5,5,1,1,1
1,2,2,United Kingdom,2,4,5,3,2,1,,5,2,62,5,4,3,1,1,1,1,1,1,3,5,3,4,6,5,6,7,5,2,3,3,3,2,4,5,5,2,2,4
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,United Kingdom,2,1,5,2,1,1,,2,2,14,3,3,2,2,2,2,2,2,2,1,1,1,1,1,6,2,7,4,4,3,4,3,4,7,4,6,3,3,3
1,2,2,UK,2,1,3,2,2,2,,2,6,70,5,6,7,1,1,1,5,1,5,1,5,6,2,5,6,3,7,1,1,3,2,5,1,4,5,6,6,2,5
1,2,2,UK,2,1,5,7,1,2,,5,1,58,5,5,6,2,3,2,1,2,1,1,5,2,3,6,2,3,5,2,2,4,2,3,3,4,4,5,3,4,4
1,2,2,UK,2,1,2,2,2,2,,2,1,0,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1
1,2,2,UK,2,1,3,1,4,2,,1,1,28,4,4,4,4,4,4,3,3,3,4,3,3,3,4,5,4,4,4,4,4,4,2,3,3,4,2,2,2,2
1,2,2,UK,2,1,2,1,2,1,,5,1,30,3,4,4,1,1,1,1,3,2,5,5,4,2,2,3,4,4,5,5,2,2,1,1,2,3,4,1,1,1
1,2,2,United Kingdom,2,2,5,3,2,2,,1,1,6,3,4,3,1,1,1,1,1,1,2,5,4,3,4,3,2,5,4,4,3,1,4,3,2,3,6,1,3,1
1,2,2,United Kingdom,2,1,5,1,3,2,,5,1,19,5,3,4,1,1,1,1,1,1,2,2,1,1,3,4,1,4,4,3,3,1,2,2,4,3,5,3,2,1
1,2,2,Ireland,2,1,4,2,2,2,,2,1,5,4,4,4,1,1,1,1,1,1,2,2,6,4,5,5,4,7,6,3,1,1,2,1,4,4,7,4,4,2
1,2,2,UK,2,1,2,5,2,1,,5,1,20,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,4,1,4,4,2
1,2,2,UK,2,1,6,3,1,2,,5,1,15,4,4,5,1,1,1,1,1,1,1,1,2,4,2,6,4,6,4,4,1,1,1,1,3,2,4,2,2,3
1,2,1,,1,1,3,1,1,1,,2,1,15,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,2,2,3,1,4,3,5,5,2,1
1,2,2,Uk,2,1,3,3,3,2,,2,2,35,3,3,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,4,3,3,4,6,5,4,4,4
1,2,2,Uk,2,4,5,3,2,2,,1,2,53,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,2,2,2,4,3,3
1,2,2,UK,2,1,2,4,4,2,,1,2,50,5,4,6,5,5,5,5,5,5,6,6,6,3,3,5,5,6,5,3,2,3,1,1,1,6,6,5,4,2
1,2,2,united kingdom,2,1,2,2,5,2,,2,1,91,1,1,1,3,6,2,2,5,2,6,6,6,6,6,5,6,5,4,4,2,3,2,5,3,3,3,2,3,2
1,2,2,United Kingdom ,2,1,5,4,2,1,,2,1,8,3,3,3,7,7,7,7,7,7,7,7,7,7,7,5,1,5,1,1,2,2,2,1,1,4,1,2,2,3
1,2,2,Scotland,2,1,3,1,2,2,,2,5,41,3,3,2,1,1,1,1,1,1,4,5,5,4,5,5,4,5,4,4,3,4,1,1,3,3,4,1,1,1
1,2,2,UK,2,1,3,3,2,1,,2,1,10,4,3,2,1,1,1,1,1,1,5,4,5,7,1,6,7,6,7,1,1,1,1,1,1,6,7,1,1,1
1,2,2,UK,2,1,3,2,4,1,,4,3,55,4,4,5,1,1,1,4,4,4,4,4,5,4,4,4,4,5,5,5,4,3,4,4,4,4,5,5,4,4
1,2,2,England,2,1,3,1,4,1,,5,2,60,4,4,2,1,1,1,1,1,1,1,1,1,1,1,6,5,6,6,2,2,1,2,1,2,1,2,1,1,1
1,2,2,United Kingdom ,1,1,7,7,2,2,,2,3,50,6,6,4,1,1,1,4,1,4,4,5,5,5,5,5,5,5,5,1,5,5,3,3,4,4,5,5,5,4
1,2,2,UK,2,1,5,2,5,2,,4,1,8,4,4,3,1,1,1,1,1,1,1,1,1,1,1,5,1,5,4,4,1,1,1,1,1,4,4,1,1,2
1,2,2,UK,2,1,2,3,2,1,,2,1,19,4,4,5,1,1,1,1,1,1,2,3,1,1,2,1,1,6,4,2,2,1,1,1,4,2,4,3,1,1
1,2,2,UK,2,4,5,2,2,1,,1,1,15,2,3,6,5,5,1,5,5,5,3,6,2,4,5,5,5,7,6,3,2,3,3,3,4,4,6,5,5,2
1,2,2,UK,2,4,5,7,3,2,,1,2,24,4,3,7,1,1,1,1,1,1,5,6,1,1,1,7,7,7,4,1,1,2,4,2,2,4,7,4,5,2
1,2,2,United Kingdom,2,1,5,3,4,2,,1,1,8,5,3,6,1,1,1,1,1,1,1,1,2,4,4,5,4,6,4,5,1,2,1,1,2,4,3,2,1,3
1,2,2,UK,2,1,5,2,5,2,,1,2,53,5,4,4,1,1,1,1,1,1,1,1,1,1,4,5,1,5,4,4,1,1,2,3,2,4,6,1,1,2
1,2,2,UK,2,1,5,2,4,2,,5,1,12,3,3,4,1,1,1,1,1,1,1,1,5,1,2,4,2,5,6,1,2,2,2,1,2,4,5,3,1,2
1,2,2,united kingdom,2,1,4,3,4,1,,1,1,20,4,4,4,1,1,1,1,1,2,3,3,3,4,5,1,1,1,5,5,3,2,3,4,4,4,4,2,4,2
1,2,2,United Kingdom ,2,2,5,1,1,1,,5,1,30,2,4,5,1,1,1,1,1,1,4,4,4,3,4,6,4,6,6,6,2,2,4,4,1,4,6,4,4,1
1,2,2,United Kingdom ,2,1,4,1,3,1,,2,4,25,4,4,3,1,1,1,1,1,1,5,4,3,2,4,6,3,7,1,1,2,1,1,3,1,7,6,1,1,3
1,2,2,United Kingdom ,2,1,5,3,2,1,,5,1,40,5,4,5,1,1,1,2,1,1,5,5,6,2,5,5,6,6,5,2,3,5,4,4,4,5,5,5,4,4
1,2,2,UK,2,1,1,1,6,2,,3,6,55,4,4,4,3,3,3,3,3,3,4,4,5,5,5,5,4,6,4,4,4,2,4,4,4,4,4,1,1,1
1,2,2,United kingdom ,2,1,2,4,3,1,,5,1,30,4,3,6,1,1,1,1,1,1,5,5,5,1,3,7,4,7,5,1,4,3,2,1,5,5,7,5,4,2
1,2,2,United Kingdom,2,1,6,1,3,1,,5,1,10,4,4,4,1,1,1,1,1,1,1,1,1,1,3,6,6,7,4,4,1,1,1,1,1,3,5,1,1,1
1,2,2,United Kingdom,2,1,3,1,1,1,,2,1,0,4,4,4,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1,1,1,4,4,4
1,2,2,UK,2,1,7,7,5,1,,1,1,10,5,4,4,1,1,1,1,1,1,1,4,4,1,4,5,6,7,7,2,3,2,2,1,1,1,1,3,2,2
1,2,2,UK,2,1,5,2,2,1,,5,3,30,3,2,1,2,2,1,2,2,2,5,5,6,5,6,6,5,7,5,4,1,2,1,1,2,3,4,2,2,1
1,2,2,UK,2,1,5,5,3,2,,1,1,20,4,4,4,1,1,1,1,1,1,3,5,5,4,5,6,6,7,4,4,3,3,2,2,4,4,6,1,1,1
1,2,2,United Kingdom,2,1,3,2,2,1,,1,1,30,4,4,4,1,1,1,1,1,1,1,1,1,1,1,5,4,6,5,5,1,1,2,3,4,5,5,3,2,1
1,2,2,UK,2,1,6,4,3,2,,1,1,10,4,4,3,1,1,1,1,1,1,1,1,1,1,2,6,4,4,4,2,3,2,4,2,4,4,6,1,4,1
1,2,2,UK,2,1,5,2,3,1,,2,1,10,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,4,4,4
1,2,2,uk,2,1,5,6,2,1,,5,1,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,2,1,1,2,2,3,2,1
1,2,2,UK,2,1,3,3,2,1,,5,5,40,4,4,4,2,2,2,2,2,2,4,3,2,2,2,6,5,6,6,5,4,2,2,1,3,3,4,4,4,3
1,2,2,England/UK,2,1,3,3,3,1,,5,2,15,5,4,3,1,1,1,1,1,1,1,2,2,2,5,5,2,5,4,4,2,1,3,3,4,5,6,6,5,2
1,2,1,,2,"1,4,5",6,6,4,2,,3,3,13,4,4,4,4,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,1,1,,1,1,1,1,,,
1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,England,2,1,3,1,5,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,UK,2,1,3,3,3,2,,2,2,46,4,4,5,2,2,2,2,2,2,2,2,2,2,3,5,4,5,5,5,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1,,2,1,5,4,2,1,,1,1,10,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,6,4,4,2,1,1,1,2,2,1,2,1,1
1,2,1,,1,1,6,3,2,2,,5,3,40,5,5,3,2,5,1,5,6,3,2,6,6,6,5,6,3,7,2,6,2,3,1,1,1,5,3,4,1,3
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1,,2,1,4,4,1,2,,5,1,10,3,3,4,4,4,3,4,4,4,4,3,4,4,5,4,4,6,4,4,2,2,2,2,4,3,4,4,4,1
1,2,1,,2,"1,2",2,7,1,2,,5,1,7,5,4,5,2,5,1,5,5,1,4,5,6,7,5,6,4,5,7,4,2,1,3,2,4,5,7,3,4,3
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1,,2,1,5,5,2,2,,1,1,5,4,4,4,1,1,1,1,1,1,1,5,5,3,5,5,3,6,5,5,1,1,2,1,2,3,2,1,1,1
1,2,1,,2,1,5,4,2,2,,5,1,8,4,5,5,1,1,1,1,1,1,4,4,4,2,3,2,1,6,4,4,2,4,2,2,4,5,7,5,4,1
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1,,2,1,5,6,3,2,,1,1,5,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1
1,2,1,,2,1,5,6,4,1,,2,1,5,4,4,4,1,1,1,1,1,1,1,1,2,2,2,5,5,6,6,6,1,1,3,3,2,3,7,2,4,2
1,2,1,,2,4,5,2,2,1,,5,2,26,5,4,4,3,3,1,5,5,5,5,5,4,5,5,5,3,5,5,4,4,5,4,3,5,4,4,4,2,2
1,2,1,,2,6,6,6,4,1,,4,1,8,4,4,4,1,1,1,1,1,1,2,2,3,3,2,6,5,5,2,2,3,6,4,4,3,3,5,3,5,2
1,2,1,,1,"1,3",2,5,2,2,,5,1,50,3,4,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,3,3,1,2,1
1,2,1,,1,2,5,4,1,2,,5,2,100,1,3,7,6,7,1,7,6,7,5,6,6,7,7,2,2,7,3,5,5,3,2,3,1,4,7,7,7,2
1,2,1,,2,1,6,4,3,1,,1,1,39,4,4,3,1,2,1,2,2,3,3,6,6,5,4,6,4,6,5,5,2,1,2,2,4,5,6,2,2,3
1,2,1,,1,6,5,3,1,2,,5,1,50,6,6,6,5,3,1,6,5,6,6,6,6,6,5,5,4,6,6,3,3,3,3,3,2,2,5,3,1,1
1,2,1,,1,"1,2,3,4,6",2,2,2,5,,5,2,7,4,4,4,6,5,4,5,5,6,5,5,5,5,6,4,4,6,5,6,3,4,4,2,5,4,4,6,5,2
1,2,1,,2,1,6,5,5,2,,1,1,10,3,3,4,1,1,1,1,1,1,1,1,1,1,1,6,1,6,4,4,1,1,1,1,4,5,5,3,1,1
1,2,1,,2,1,4,1,2,1,,5,5,71,5,4,5,6,6,6,5,6,5,4,5,4,4,5,5,5,5,5,5,5,2,5,3,5,5,5,5,5,4
1,2,1,,2,1,6,4,5,2,,1,4,50,5,5,6,3,3,1,3,3,3,2,5,5,5,4,5,5,7,5,4,5,3,4,4,4,5,5,5,1,4
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1,,2,1,4,3,3,2,,2,6,80,6,6,6,1,1,1,6,1,5,5,5,5,5,6,5,5,5,5,2,6,6,6,6,6,6,6,6,6,6
1,2,1,,2,4,5,4,2,2,,5,1,21,5,4,3,1,1,1,1,1,1,5,5,5,1,1,6,4,5,3,3,2,2,3,2,3,4,5,2,2,1
1,2,1,,2,1,5,2,2,2,,5,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,3,1,1,1,1
1,2,1,,2,1,5,5,3,2,,1,1,20,4,4,4,2,2,1,1,2,2,1,3,2,3,4,3,2,2,2,2,3,1,2,2,3,3,4,2,1,2
1,2,1,,2,1,5,5,5,1,,1,1,100,1,1,1,1,1,1,1,1,1,1,2,4,3,5,5,4,6,3,4,1,1,1,1,1,3,2,1,1,1
1,2,1,,2,1,4,1,2,2,,5,1,10,2,2,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1
1,2,1,,2,1,4,5,3,2,,1,4,50,1,2,5,1,1,1,4,4,1,5,6,6,5,5,5,6,7,7,1,5,5,4,4,4,5,6,4,2,2
1,2,1,,2,1,4,3,2,1,,2,3,74,6,6,6,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5
1,2,1,,2,1,5,2,6,2,,4,1,10,4,4,4,1,1,1,1,1,1,1,1,1,1,3,5,4,7,1,1,1,1,2,1,1,3,4,1,1,1
1,2,1,,2,"1,4",5,3,2,1,,5,1,15,3,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,4,1,1,1,1,2,3,6,1,2,1
1,2,1,,2,1,5,5,2,1,,1,1,25,4,4,4,1,1,1,1,1,1,1,2,1,2,1,2,1,5,2,2,3,1,2,1,2,3,4,2,2,3
1,2,1,,2,1,2,5,2,1,,1,1,5,4,4,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,4,1,1,1
1,2,1,,2,1,2,3,4,2,,1,1,8,4,4,1,5,4,4,5,3,4,6,5,6,6,6,5,5,5,6,2,1,4,5,4,5,5,5,2,1,2
1,2,1,,2,1,3,3,3,1,,1,1,10,4,4,4,1,1,1,1,1,1,1,1,1,1,1,4,1,7,7,1,3,1,2,1,2,3,7,2,1,2
1,2,1,,2,1,2,7,2,1,,5,1,10,4,4,3,2,2,1,2,2,2,2,2,2,2,4,5,4,6,4,4,1,1,2,1,4,2,3,2,3,3
1,2,1,,1,1,6,2,2,1,,4,1,3,3,3,4,1,1,1,1,1,1,2,2,4,3,5,5,3,4,1,1,3,2,3,3,2,4,3,3,2,4
1,2,1,,2,1,4,3,4,1,,5,2,29,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,4,4,3,4,1,7
1,2,1,,2,1,6,3,2,1,,1,1,29,2,2,5,1,1,1,1,1,1,1,1,2,2,1,3,1,6,1,1,2,1,1,1,1,3,4,2,2,2
1,2,1,,2,1,6,5,2,1,,1,1,10,3,4,5,1,1,1,1,1,1,1,1,1,1,1,5,2,4,3,3,2,1,2,2,4,2,3,2,1,1
1,2,1,,2,1,5,6,3,1,,2,1,41,3,4,1,1,1,1,1,1,1,6,6,6,6,5,5,5,7,7,3,1,3,4,1,2,2,7,5,6,1
1,2,1,,2,1,3,3,5,5,,1,4,60,5,5,6,1,1,1,1,1,1,1,1,1,1,1,6,6,7,5,4,1,1,1,1,4,5,6,3,4,3